benchmark,time,cpu,iterations
add_constref_bench/2,       64.5 ns,        64.4 ns,10927660
add_constref_bench/2,       65.8 ns,        65.8 ns,10927660
add_constref_bench/2,       64.6 ns,        64.6 ns,10927660
add_constref_bench/2,       63.8 ns,        63.8 ns,10927660
add_constref_bench/2,       66.2 ns,        66.2 ns,10927660
add_constref_bench/2,       66.2 ns,        66.2 ns,10927660
add_constref_bench/2,       65.0 ns,        65.0 ns,10927660
add_constref_bench/2,       65.5 ns,        65.5 ns,10927660
add_constref_bench/2,       65.0 ns,        65.0 ns,10927660
add_constref_bench/2,       66.5 ns,        66.5 ns,10927660
add_constref_bench/2,       67.2 ns,        67.1 ns,10927660
add_constref_bench/2,       64.1 ns,        64.1 ns,10927660
add_constref_bench/2,       64.3 ns,        64.3 ns,10927660
add_constref_bench/2,       66.5 ns,        66.4 ns,10927660
add_constref_bench/2,       64.8 ns,        64.8 ns,10927660
add_constref_bench/2,       65.5 ns,        65.5 ns,10927660
add_constref_bench/2,       64.4 ns,        64.3 ns,10927660
add_constref_bench/2,       67.0 ns,        67.0 ns,10927660
add_constref_bench/2,       65.1 ns,        65.1 ns,10927660
add_constref_bench/2,       65.9 ns,        65.9 ns,10927660
add_constref_bench/2,       67.6 ns,        67.6 ns,10927660
add_constref_bench/2,       64.2 ns,        64.2 ns,10927660
add_constref_bench/2,       66.5 ns,        66.5 ns,10927660
add_constref_bench/2,       67.7 ns,        67.7 ns,10927660
add_constref_bench/2,       65.3 ns,        65.3 ns,10927660
add_constref_bench/2,       64.2 ns,        64.2 ns,10927660
add_constref_bench/2,       63.8 ns,        63.8 ns,10927660
add_constref_bench/2,       68.0 ns,        68.0 ns,10927660
add_constref_bench/2,       67.4 ns,        67.4 ns,10927660
add_constref_bench/2,       68.8 ns,        68.7 ns,10927660
add_constref_bench/2_mean,       65.7 ns,        65.7 ns,30
add_constref_bench/2_median,       65.5 ns,        65.5 ns,30
add_constref_bench/2_stddev,       1.37 ns,        1.37 ns,30
add_constref_bench/4,        194 ns,         194 ns,3656687
add_constref_bench/4,        193 ns,         193 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        197 ns,         197 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        194 ns,         194 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        194 ns,         194 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        196 ns,         196 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        201 ns,         201 ns,3656687
add_constref_bench/4,        193 ns,         193 ns,3656687
add_constref_bench/4,        195 ns,         195 ns,3656687
add_constref_bench/4,        197 ns,         197 ns,3656687
add_constref_bench/4,        199 ns,         198 ns,3656687
add_constref_bench/4,        191 ns,         191 ns,3656687
add_constref_bench/4,        202 ns,         202 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        196 ns,         196 ns,3656687
add_constref_bench/4,        194 ns,         194 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        193 ns,         193 ns,3656687
add_constref_bench/4,        196 ns,         196 ns,3656687
add_constref_bench/4,        193 ns,         193 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4,        192 ns,         192 ns,3656687
add_constref_bench/4_mean,        194 ns,         194 ns,30
add_constref_bench/4_median,        193 ns,         193 ns,30
add_constref_bench/4_stddev,       2.87 ns,        2.88 ns,30
add_constref_bench/8,        710 ns,         710 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        714 ns,         714 ns,941704
add_constref_bench/8,        705 ns,         704 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        704 ns,         704 ns,941704
add_constref_bench/8,        712 ns,         712 ns,941704
add_constref_bench/8,        706 ns,         706 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        741 ns,         741 ns,941704
add_constref_bench/8,        714 ns,         714 ns,941704
add_constref_bench/8,        709 ns,         709 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        712 ns,         712 ns,941704
add_constref_bench/8,        707 ns,         707 ns,941704
add_constref_bench/8,        704 ns,         704 ns,941704
add_constref_bench/8,        704 ns,         704 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        703 ns,         703 ns,941704
add_constref_bench/8,        706 ns,         706 ns,941704
add_constref_bench/8,        706 ns,         705 ns,941704
add_constref_bench/8,        704 ns,         704 ns,941704
add_constref_bench/8,        713 ns,         713 ns,941704
add_constref_bench/8,        704 ns,         704 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8,        711 ns,         711 ns,941704
add_constref_bench/8,        705 ns,         705 ns,941704
add_constref_bench/8_mean,        708 ns,         708 ns,30
add_constref_bench/8_median,        705 ns,         705 ns,30
add_constref_bench/8_stddev,       7.08 ns,        7.09 ns,30
add_constref_bench/16,       2794 ns,        2794 ns,247728
add_constref_bench/16,       2790 ns,        2790 ns,247728
add_constref_bench/16,       2794 ns,        2793 ns,247728
add_constref_bench/16,       2771 ns,        2770 ns,247728
add_constref_bench/16,       2771 ns,        2770 ns,247728
add_constref_bench/16,       2793 ns,        2792 ns,247728
add_constref_bench/16,       2792 ns,        2792 ns,247728
add_constref_bench/16,       2791 ns,        2790 ns,247728
add_constref_bench/16,       2791 ns,        2791 ns,247728
add_constref_bench/16,       2792 ns,        2791 ns,247728
add_constref_bench/16,       2794 ns,        2794 ns,247728
add_constref_bench/16,       2889 ns,        2889 ns,247728
add_constref_bench/16,       2798 ns,        2797 ns,247728
add_constref_bench/16,       2790 ns,        2789 ns,247728
add_constref_bench/16,       2792 ns,        2792 ns,247728
add_constref_bench/16,       2793 ns,        2792 ns,247728
add_constref_bench/16,       2791 ns,        2790 ns,247728
add_constref_bench/16,       2796 ns,        2796 ns,247728
add_constref_bench/16,       2802 ns,        2801 ns,247728
add_constref_bench/16,       2790 ns,        2789 ns,247728
add_constref_bench/16,       2793 ns,        2793 ns,247728
add_constref_bench/16,       2788 ns,        2787 ns,247728
add_constref_bench/16,       2790 ns,        2790 ns,247728
add_constref_bench/16,       2805 ns,        2805 ns,247728
add_constref_bench/16,       2806 ns,        2805 ns,247728
add_constref_bench/16,       2792 ns,        2791 ns,247728
add_constref_bench/16,       2792 ns,        2791 ns,247728
add_constref_bench/16,       2792 ns,        2791 ns,247728
add_constref_bench/16,       2795 ns,        2795 ns,247728
add_constref_bench/16,       2795 ns,        2795 ns,247728
add_constref_bench/16_mean,       2795 ns,        2795 ns,30
