-------------------------------------------------------------------------
Benchmark                               Time             CPU   Iterations
-------------------------------------------------------------------------
toss_me/2                             209 ns          209 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             212 ns          212 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             212 ns          212 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             212 ns          212 ns      3327154
toss_me/2                             212 ns          212 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          210 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2                             210 ns          210 ns      3327154
toss_me/2                             211 ns          211 ns      3327154
toss_me/2_mean                        211 ns          211 ns           40
toss_me/2_median                      211 ns          211 ns           40
toss_me/2_stddev                    0.584 ns        0.583 ns           40
toss_me/4                             768 ns          768 ns       905018
toss_me/4                             772 ns          771 ns       905018
toss_me/4                             765 ns          765 ns       905018
toss_me/4                             765 ns          765 ns       905018
toss_me/4                             766 ns          766 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             766 ns          765 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             762 ns          762 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             762 ns          762 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             770 ns          770 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             762 ns          762 ns       905018
toss_me/4                             762 ns          762 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             765 ns          765 ns       905018
toss_me/4                             762 ns          762 ns       905018
toss_me/4                             766 ns          765 ns       905018
toss_me/4                             773 ns          773 ns       905018
toss_me/4                             765 ns          765 ns       905018
toss_me/4                             765 ns          765 ns       905018
toss_me/4                             762 ns          762 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             765 ns          764 ns       905018
toss_me/4                             764 ns          764 ns       905018
toss_me/4                             763 ns          763 ns       905018
toss_me/4_mean                        764 ns          764 ns           40
toss_me/4_median                      764 ns          764 ns           40
toss_me/4_stddev                     2.42 ns         2.43 ns           40
toss_me/8                            2987 ns         2986 ns       233459
toss_me/8                            2985 ns         2985 ns       233459
toss_me/8                            3001 ns         3001 ns       233459
toss_me/8                            2986 ns         2985 ns       233459
toss_me/8                            2988 ns         2988 ns       233459
toss_me/8                            2983 ns         2983 ns       233459
toss_me/8                            2987 ns         2987 ns       233459
toss_me/8                            2988 ns         2988 ns       233459
toss_me/8                            2992 ns         2991 ns       233459
toss_me/8                            2987 ns         2987 ns       233459
toss_me/8                            3023 ns         3022 ns       233459
toss_me/8                            3002 ns         3002 ns       233459
toss_me/8                            2990 ns         2989 ns       233459
toss_me/8                            2993 ns         2993 ns       233459
toss_me/8                            2990 ns         2990 ns       233459
toss_me/8                            2984 ns         2983 ns       233459
toss_me/8                            3053 ns         3052 ns       233459
toss_me/8                            2992 ns         2991 ns       233459
toss_me/8                            2984 ns         2984 ns       233459
toss_me/8                            2992 ns         2992 ns       233459
toss_me/8                            3003 ns         3003 ns       233459
toss_me/8                            2990 ns         2990 ns       233459
toss_me/8                            3018 ns         3017 ns       233459
toss_me/8                            2991 ns         2990 ns       233459
toss_me/8                            2991 ns         2991 ns       233459
toss_me/8                            2986 ns         2986 ns       233459
toss_me/8                            2985 ns         2984 ns       233459
toss_me/8                            2992 ns         2991 ns       233459
toss_me/8                            2986 ns         2985 ns       233459
toss_me/8                            2986 ns         2985 ns       233459
toss_me/8                            2990 ns         2990 ns       233459
toss_me/8                            3003 ns         3002 ns       233459
toss_me/8                            2988 ns         2987 ns       233459
toss_me/8                            3027 ns         3027 ns       233459
toss_me/8                            2988 ns         2987 ns       233459
toss_me/8                            2990 ns         2989 ns       233459
toss_me/8                            2989 ns         2988 ns       233459
toss_me/8                            2986 ns         2986 ns       233459
toss_me/8                            2984 ns         2984 ns       233459
toss_me/8                            2990 ns         2989 ns       233459
toss_me/8_mean                       2994 ns         2993 ns           40
toss_me/8_median                     2990 ns         2989 ns           40
toss_me/8_stddev                     14.0 ns         13.9 ns           40
toss_me/16                          11930 ns        11926 ns        59046
toss_me/16                          11891 ns        11889 ns        59046
toss_me/16                          11882 ns        11880 ns        59046
toss_me/16                          11915 ns        11914 ns        59046
toss_me/16                          11905 ns        11903 ns        59046
toss_me/16                          11898 ns        11897 ns        59046
toss_me/16                          11886 ns        11884 ns        59046
toss_me/16                          11909 ns        11908 ns        59046
toss_me/16                          11870 ns        11868 ns        59046
toss_me/16                          11885 ns        11884 ns        59046
toss_me/16                          11890 ns        11888 ns        59046
toss_me/16                          11893 ns        11891 ns        59046
toss_me/16                          11895 ns        11892 ns        59046
toss_me/16                          11958 ns        11957 ns        59046
toss_me/16                          11880 ns        11879 ns        59046
toss_me/16                          11895 ns        11893 ns        59046
toss_me/16                          11885 ns        11884 ns        59046
toss_me/16                          11940 ns        11938 ns        59046
toss_me/16                          11856 ns        11854 ns        59046
toss_me/16                          11871 ns        11870 ns        59046
toss_me/16                          11886 ns        11885 ns        59046
toss_me/16                          12114 ns        12113 ns        59046
toss_me/16                          11874 ns        11872 ns        59046
toss_me/16                          11997 ns        11995 ns        59046
toss_me/16                          11933 ns        11931 ns        59046
toss_me/16                          11888 ns        11887 ns        59046
toss_me/16                          11916 ns        11915 ns        59046
toss_me/16                          11906 ns        11901 ns        59046
toss_me/16                          11896 ns        11895 ns        59046
toss_me/16                          11875 ns        11872 ns        59046
toss_me/16                          11895 ns        11894 ns        59046
toss_me/16                          11884 ns        11883 ns        59046
toss_me/16                          11868 ns        11868 ns        59046
toss_me/16                          11880 ns        11878 ns        59046
toss_me/16                          11887 ns        11885 ns        59046
toss_me/16                          11857 ns        11855 ns        59046
toss_me/16                          11888 ns        11887 ns        59046
toss_me/16                          11893 ns        11893 ns        59046
toss_me/16                          11904 ns        11902 ns        59046
toss_me/16                          11876 ns        11875 ns        59046
toss_me/16_mean                     11901 ns        11900 ns           40
toss_me/16_median                   11890 ns        11888 ns           40
toss_me/16_stddev                    43.7 ns         43.6 ns           40
toss_me/32                          48306 ns        48303 ns        14416
toss_me/32                          48389 ns        48379 ns        14416
toss_me/32                          48621 ns        48617 ns        14416
toss_me/32                          48396 ns        48390 ns        14416
toss_me/32                          48420 ns        48408 ns        14416
toss_me/32                          48419 ns        48407 ns        14416
toss_me/32                          48379 ns        48372 ns        14416
toss_me/32                          48347 ns        48345 ns        14416
toss_me/32                          48351 ns        48344 ns        14416
toss_me/32                          48430 ns        48420 ns        14416
toss_me/32                          48192 ns        48185 ns        14416
toss_me/32                          48311 ns        48301 ns        14416
toss_me/32                          48333 ns        48329 ns        14416
toss_me/32                          48312 ns        48308 ns        14416
toss_me/32                          48330 ns        48326 ns        14416
toss_me/32                          48460 ns        48447 ns        14416
toss_me/32                          48155 ns        48146 ns        14416
toss_me/32                          48261 ns        48255 ns        14416
toss_me/32                          48299 ns        48296 ns        14416
toss_me/32                          48392 ns        48388 ns        14416
